
becter Subjonctif Plus-que-parfait,que j'eusse becté,que tu eusses becté,qu'il eût becté,que nous eussions becté,que vous eussiez becté,qu'ils eussent becté
becter Passé simple,,,,,,
becter Passé Antérieur,j'eus becté,tu eus becté,il eut becté,nous eûmes becté,vous eûtes becté,ils eurent becté
becter Impératif Présent,,,,,,
becter Infinitif Présent,je becter,tu becter,il becter,nous becter,vous becter,ils becter
becter Participe Présent,je bectant,tu bectant,il bectant,nous bectant,vous bectant,ils bectant
becter Participe Passé,je becté,tu becté,il becté,nous becté,vous becté,ils becté

boumer Présent,,,il boume,,,ils boument
boumer Passé Composé,j'ai boumé,tu as boumé,il a boumé,nous avons boumé,vous avez boumé,ils ont boumé
boumer Imparfait,,,il boumait,,,ils boumaient
boumer Plus-que-parfait,j'avais boumé,tu avais boumé,il avait boumé,nous avions boumé,vous aviez boumé,ils avaient boumé
boumer Futur Simple,,,il boumera,,,ils boumeront
boumer Futur Antérieur,j'aurai boumé,tu auras boumé,il aura boumé,nous aurons boumé,vous aurez boumé,ils auront boumé
boumer Conditionnel Présent,,,il boumerait,,,ils boumeraient
boumer Conditionnel Passé,j'aurais boumé,tu aurais boumé,il aurait boumé,nous aurions boumé,vous auriez boumé,ils auraient boumé
boumer Subjonctif Présent,,,qu'il boume,,,qu'ils boument
boumer Subjonctif Passé,que j'aie boumé,que tu aies boumé,qu'il ait boumé,que nous ayons boumé,que vous ayez boumé,qu'ils aient boumé
boumer Subjonctif Imparfait,,,qu'il boumât,,,qu'ils boumassent
boumer Subjonctif Plus-que-parfait,que j'eusse boumé,que tu eusses boumé,qu'il eût boumé,que nous eussions boumé,que vous eussiez boumé,qu'ils eussent boumé
boumer Passé simple,,,il bouma,,,ils boumèrent
boumer Passé Antérieur,j'eus boumé,tu eus boumé,il eut boumé,nous eûmes boumé,vous eûtes boumé,ils eurent boumé
boumer Impératif Présent,,,,,,
boumer Infinitif Présent,je boumer,tu boumer,il boumer,nous boumer,vous boumer,ils boumer
boumer Participe Présent,je boumant,tu boumant,il boumant,nous boumant,vous boumant,ils boumant
boumer Participe Passé,je boumé,tu boumé,il boumé,nous boumé,vous boumé,ils boumé

béer Présent,,,,,,
béer Passé Composé,j'ai bée,tu as bée,il a bée,nous avons bée,vous avez bée,ils ont bée
béer Imparfait,je béais,tu béais,il béait,nous béions,vous béiez,ils béaient
béer Plus-que-parfait,j'avais bée,tu avais bée,il avait bée,nous avions bée,vous aviez bée,ils avaient bée
béer Futur Simple,,,,,,
béer Futur Antérieur,j'aurai bée,tu auras bée,il aura bée,nous aurons bée,vous aurez bée,ils auront bée
béer Conditionnel Présent,,,,,,
béer Conditionnel Passé,j'aurais bée,tu aurais bée,il aurait bée,nous aurions bée,vous auriez bée,ils auraient bée
béer Subjonctif Présent,,,,,,
