ortho	lemme	cgram
comptables	comptable	NAM
comptage	comptage	NAM
comptai	compter	VER
comptaient	compter	VER
comptais	compter	VER
comptait	compter	VER
comptant	comptant	ADJ
comptant	comptant	NAM
comptant	compter	VER
compte	compte	NAM
compte	compter	VER
compte-fils	compte-fils	NAM
compte-gouttes	compte-gouttes	NAM
compte-rendu	compte-rendu	NAM
compte-tours	compte-tours	NAM
comptent	compter	VER
compter	compter	VER
comptera	compter	VER
compterai	compter	VER
compteraient	compter	VER
compterais	compter	VER
compterait	compter	VER
compteras	compter	VER
compterez	compter	VER
compterons	compter	VER
compteront	compter	VER
comptes	compte	NAM
comptes	compter	VER
comptes-rendus	compte-rendu	NAM
compteur	compteur	NAM
compteurs	compteur	NAM
comptez	compter	VER
comptiez	compter	VER
comptine	comptine	NAM
comptines	comptine	NAM
comptions	compter	VER
comptoir	comptoir	NAM
comptoirs	comptoir	NAM
comptons	compter	VER
comptât	compter	VER
comptèrent	compter	VER
compté	compter	VER
comptée	compter	VER
comptées	compter	VER
comptés	compter	VER
compulsait	compulser	VER
compulsant	compulser	VER
compulse	compulser	VER
compulser	compulser	VER
compulsez	compulser	VER
compulsif	compulsif	ADJ
compulsifs	compulsif	ADJ
compulsion	compulsion	NAM
compulsive	compulsif	ADJ
compulsivement	compulsivement	ADV
compulsives	compulsif	ADJ
compulsoire	compulsoire	NAM
compulsons	compulser	VER
compulsé	compulser	VER
compulsés	compulser	VER
comput	comput	NAM
computations	computation	NAM
computer	computer	NAM
computers	computer	NAM
computeur	computeur	NAM
computeurs	computeur	NAM
compère	compère	NAM
compères	compère	NAM
compète	compéter	VER
compètes	compéter	VER
compétant	compéter	VER
compétence	compétence	NAM
compétences	compétence	NAM
compétent	compétent	ADJ
compétente	compétent	ADJ
compétentes	compétent	ADJ
compétents	compétent	ADJ
compétiteur	compétiteur	NAM
compétiteurs	compétiteur	NAM
compétitif	compétitif	ADJ
compétitifs	compétitif	ADJ
compétition	compétition	NAM
compétitions	compétition	NAM
compétitive	compétitif	ADJ
compétitivité	compétitivité	NAM
compétitrice	compétiteur	NAM
comtal	comtal	ADJ
comtale	comtal	ADJ
comte	comte	NAM
comtes	comte	NAM
comtesse	comte	NAM
comtesses	comte	NAM
comtois	comtois	ADJ
comtois	comtois	NAM
comtoise	comtois	ADJ
comtoise	comtois	NAM
comté	comté	NAM
comtés	comté	NAM
comète	comète	NAM
comètes	comète	NAM
comédie	comédie	NAM
comédien	comédien	ADJ
comédien	comédien	NAM
comédienne	comédien	ADJ
comédienne	comédien	NAM
comédiennes	comédien	ADJ
comédiennes	comédien	NAM
comédiens	comédien	ADJ
comédiens	comédien	NAM
comédies	comédie	NAM
comédons	comédon	NAM
con	con	ADJ
con	con	NAM
con	con	PRO:per
conard	conard	ADJ
conard	conard	NAM
conarde	conard	ADJ
conarde	conard	NAM
conards	conard	NAM
conasse	conasse	NAM
conasses	conasse	NAM
concassage	concassage	NAM
concassait	concasser	VER
concassant	concasser	VER
concasse	concasser	VER
concassent	concasser	VER
concasser	concasser	VER
concasseur	concasseur	NAM
concasseurs	concasseur	NAM
concassé	concasser	VER
concassée	concasser	VER
concassées	concasser	VER
concassés	concasser	VER
concaténation	concaténation	NAM
concave	concave	ADJ
concaves	concave	ADJ
concavité	concavité	NAM
concentra	concentrer	VER
concentrai	concentrer	VER
concentraient	concentrer	VER
concentrais	concentrer	VER
concentrait	concentrer	VER
concentrant	concentrer	VER
concentrateur	concentrateur	NAM
concentration	concentration	NAM
concentrationnaire	concentrationnaire	ADJ
concentrationnaires	concentrationnaire	ADJ
concentrations	concentration	NAM
concentre	concentrer	VER
concentrent	concentrer	VER
concentrer	concentrer	VER
concentrera	concentrer	VER
concentrerai	concentrer	VER
concentrerais	concentrer	VER
concentrerait	concentrer	VER
concentrerons	concentrer	VER
concentreront	concentrer	VER
concentres	concentrer	VER
concentrez	concentrer	VER
concentriez	concentrer	VER
concentrions	concentrer	VER
concentrique	concentrique	ADJ
concentriques	concentrique	ADJ
concentrons	concentrer	VER
concentré	concentrer	VER
concentré	concentré	ADJ
concentré	concentré	NAM
concentrée	concentrer	VER
concentrée	concentré	ADJ
concentrées	concentrer	VER
concentrées	concentré	ADJ
concentrés	concentrer	VER
concentrés	concentré	ADJ
concentrés	concentré	NAM
concept	concept	NAM
concepteur	concepteur	ADJ
concepteur	concepteur	NAM
concepteurs	concepteur	ADJ
concepteurs	concepteur	NAM
conception	conception	NAM
conceptions	conception	NAM
conceptrice	concepteur	NAM
concepts	concept	NAM
conceptualise	conceptualiser	VER
conceptualiser	conceptualiser	VER
conceptualisé	conceptualiser	VER
conceptuel	conceptuel	ADJ
conceptuelle	conceptuel	ADJ
conceptuellement	conceptuellement	ADV
conceptuelles	conceptuel	ADJ
conceptuels	conceptuel	ADJ
concernaient	concerner	VER
concernait	concerner	VER
concernant	concernant	PRE
concernant	concerner	VER
concerne	concerner	VER
concernent	concerner	VER
concerner	concerner	VER
concernera	concerner	VER
concerneraient	concerner	VER
concernerait	concerner	VER
concernât	concerner	VER
concernèrent	concerner	VER
concerné	concerner	VER
concernée	concerner	VER
concernées	concerner	VER
concernés	concerner	VER
concert	concert	NAM
concertaient	concerter	VER
concertait	concerter	VER
concertant	concerter	VER
concertation	concertation	NAM
concertations	concertation	NAM
concerte	concerter	VER
concertent	concerter	VER
concerter	concerter	VER
concertez	concerter	VER
concertina	concertina	NAM
concertiste	concertiste	NAM
concerto	concerto	NAM
concertons	concerter	VER
concertos	concerto	NAM
concerts	concert	NAM
concertèrent	concerter	VER
concerté	concerter	VER
concerté	concerté	ADJ
concertée	concerter	VER
concertée	concerté	ADJ
concertées	concerter	VER
concertées	concerté	ADJ
concertés	concerter	VER
concertés	concerté	ADJ
concession	concession	NAM
concessionnaire	concessionnaire	ADJ
concessionnaire	concessionnaire	NAM
concessionnaires	concessionnaire	ADJ
concessionnaires	concessionnaire	NAM
concessions	concession	NAM
concetto	concetto	NAM
concevable	concevable	ADJ
concevables	concevable	ADJ
concevaient	concevoir	VER
concevais	concevoir	VER
concevait	concevoir	VER
concevant	concevoir	VER
concevez	concevoir	VER
conceviez	concevoir	VER
concevions	concevoir	VER
concevoir	concevoir	VER
concevons	concevoir	VER
concevrais	concevoir	VER
concevrait	concevoir	VER
conchiaient	conchier	VER
conchie	conchier	VER
conchier	conchier	VER
conchié	conchier	VER
conchoïdaux	conchoïdal	ADJ
concierge	concierge	NAM
conciergerie	conciergerie	NAM
conciergeries	conciergerie	NAM
concierges	concierge	NAM
concile	concile	NAM
conciles	concile	NAM
conciliable	conciliable	ADJ
conciliables	conciliable	ADJ
conciliabule	conciliabule	NAM
conciliabules	conciliabule	NAM
conciliaient	concilier	VER
conciliaires	conciliaire	ADJ
conciliait	concilier	VER
conciliant	conciliant	ADJ
conciliant	concilier	VER
conciliante	conciliant	ADJ
conciliantes	conciliant	ADJ
conciliants	conciliant	ADJ
conciliateur	conciliateur	ADJ
conciliateur	conciliateur	NAM
conciliateurs	conciliateur	ADJ
conciliateurs	conciliateur	NAM
conciliation	conciliation	NAM
conciliations	conciliation	NAM
conciliatrice	conciliateur	NAM
concilie	concilier	VER
concilier	concilier	VER
concilierait	concilier	VER
concilies	concilier	VER
concilié	concilier	VER
conciliées	concilier	VER
conciliés	concilier	VER
concis	concis	ADJ
concise	concis	ADJ
concision	concision	NAM
concitoyen	concitoyen	NAM
concitoyenne	concitoyen	NAM
concitoyennes	concitoyen	NAM
concitoyens	concitoyen	NAM
conclave	conclave	NAM
conclaviste	conclaviste	NAM
conclu	conclure	VER
concluaient	conclure	VER
concluais	conclure	VER
concluait	conclure	VER
concluant	concluant	ADJ
concluant	conclure	VER
concluante	concluant	ADJ
concluantes	concluant	ADJ
concluants	concluant	ADJ
conclue	conclure	VER
concluent	conclure	VER
conclues	conclure	VER
concluez	conclure	VER
concluions	conclure	VER
concluons	conclure	VER
conclura	conclure	VER
conclurai	conclure	VER
conclurais	conclure	VER
conclurait	conclure	VER
conclure	conclure	VER
conclurent	conclure	VER
conclurez	conclure	VER
conclurions	conclure	VER
conclurons	conclure	VER
concluront	conclure	VER
conclus	conclure	VER
conclusion	conclusion	NAM
conclusions	conclusion	NAM
conclusive	conclusif	ADJ
conclut	conclure	VER
conclûmes	conclure	VER
conclût	conclure	VER
concocta	concocter	VER
concoctait	concocter	VER
concoctent	concocter	VER
concocter	concocter	VER
concocteras	concocter	VER
concoction	concoction	NAM
concocté	concocter	VER
concoctée	concocter	VER
concoctés	concocter	VER
concombre	concombre	NAM
concombres	concombre	NAM
concomitance	concomitance	NAM
concomitant	concomitant	ADJ
concomitante	concomitant	ADJ
concomitantes	concomitant	ADJ
concordaient	concorder	VER
concordait	concorder	VER
concordance	concordance	NAM
concordant	concordant	ADJ
concordant	concorder	VER
concordante	concordant	ADJ
concordantes	concordant	ADJ
concordants	concordant	ADJ
concordat	concordat	NAM
concorde	concorde	NAM
concorde	concorder	VER
concordent	concorder	VER
concorder	concorder	VER
concordez	concorder	VER
concordistes	concordiste	NAM
concouraient	concourir	VER
concourait	concourir	VER
concourant	concourant	ADJ
concourant	concourir	VER
concoure	concourir	VER
concourent	concourir	VER
concourez	concourir	VER
concourir	concourir	VER
concourrai	concourir	VER
concourrait	concourir	VER
concourront	concourir	VER
concours	concourir	VER
concours	concours	NAM
concourt	concourir	VER
concouru	concourir	VER
concourût	concourir	VER
concret	concret	ADJ
concret	concret	NAM
concrets	concret	ADJ
concrets	concret	NAM
concrète	concret	ADJ
concrète	concréter	VER
concrètement	concrètement	ADV
concrètes	concret	ADJ
concrétion	concrétion	NAM
concrétions	concrétion	NAM
concrétisant	concrétiser	VER
concrétisation	concrétisation	NAM
concrétise	concrétiser	VER
concrétisent	concrétiser	VER
concrétiser	concrétiser	VER
concrétisèrent	concrétiser	VER
concrétisé	concrétiser	VER
concrétisée	concrétiser	VER
concrétisées	concrétiser	VER
concrétisés	concrétiser	VER
concubin	concubin	NAM
concubinage	concubinage	NAM
concubinages	concubinage	NAM
concubinait	concubiner	VER
concubine	concubin	NAM
concubines	concubin	NAM
concubins	concubin	NAM
concupiscence	concupiscence	NAM
concupiscences	concupiscence	NAM
concupiscent	concupiscent	ADJ
concupiscente	concupiscent	ADJ
concupiscentes	concupiscent	ADJ
concupiscents	concupiscent	ADJ
concurremment	concurremment	ADV
concurrence	concurrence	NAM
concurrence	concurrencer	VER
concurrencer	concurrencer	VER
concurrences	concurrence	NAM
concurrencé	concurrencer	VER
concurrencée	concurrencer	VER
concurrent	concurrent	ADJ
concurrent	concurrent	NAM
concurrente	concurrent	ADJ
concurrentes	concurrent	ADJ
concurrentiel	concurrentiel	ADJ
concurrentielle	concurrentiel	ADJ
concurrentiels	concurrentiel	ADJ
concurrents	concurrent	ADJ
concurrents	concurrent	NAM
concurrençait	concurrencer	VER
concussion	concussion	NAM
concussionnaire	concussionnaire	ADJ
concède	concéder	VER
concèdes	concéder	VER
concéda	concéder	VER
concédai	concéder	VER
concédaient	concéder	VER
concédais	concéder	VER
concédait	concéder	VER
concédant	concédant	NAM
concéder	concéder	VER
concéderait	concéder	VER
concédez	concéder	VER
concédons	concéder	VER
concédât	concéder	VER
concédé	concéder	VER
concédée	concéder	VER
concédés	concéder	VER
concélèbrent	concélébrer	VER
condamna	condamner	VER
condamnable	condamnable	ADJ
condamnables	condamnable	ADJ
condamnai	condamner	VER
condamnaient	condamner	VER
condamnais	condamner	VER
condamnait	condamner	VER
condamnant	condamner	VER
condamnation	condamnation	NAM
condamnations	condamnation	NAM
condamne	condamner	VER
condamnent	condamner	VER
condamner	condamner	VER
condamnera	condamner	VER
condamnerai	condamner	VER
condamneraient	condamner	VER
condamnerais	condamner	VER
condamnerait	condamner	VER
condamneras	condamner	VER
condamnerons	condamner	VER
condamneront	condamner	VER
condamnes	condamner	VER
condamnez	condamner	VER
condamniez	condamner	VER
condamnions	condamner	VER
condamnons	condamner	VER
condamnât	condamner	VER
condamnèrent	condamner	VER
condamné	condamner	VER
condamné	condamné	ADJ
condamné	condamné	NAM
condamnée	condamner	VER
condamnée	condamné	ADJ
condamnée	condamné	NAM
condamnées	condamner	VER
condamnées	condamné	ADJ
condamnées	condamné	NAM
condamnés	condamner	VER
condamnés	condamné	ADJ
condamnés	condamné	NAM
condensa	condenser	VER
condensaient	condenser	VER
condensait	condenser	VER
condensant	condenser	VER
condensateur	condensateur	NAM
condensateurs	condensateur	NAM
condensation	condensation	NAM
condense	condenser	VER
condensent	condenser	VER
condenser	condenser	VER
condensera	condenser	VER
condenseur	condenseur	NAM
condensèrent	condenser	VER
condensé	condenser	VER
condensé	condensé	ADJ
condensé	condensé	NAM
condensée	condensé	ADJ
condensées	condenser	VER
condensés	condenser	VER
condensés	condensé	ADJ
condescend	condescendre	VER
condescendait	condescendre	VER
condescendance	condescendance	NAM
condescendant	condescendant	ADJ
condescendant	condescendre	VER
condescendante	condescendant	ADJ
condescendants	condescendant	ADJ
condescendit	condescendre	VER
condescendrais	condescendre	VER
condescendre	condescendre	VER
condescendu	condescendre	VER
condiment	condiment	NAM
condiments	condiment	NAM
condisciple	condisciple	NAM
condisciples	condisciple	NAM
condition	condition	NAM
conditionnait	conditionner	VER
conditionnant	conditionner	VER
conditionne	conditionner	VER
conditionnel	conditionnel	NAM
conditionnelle	conditionnel	ADJ
conditionnellement	conditionnellement	ADV
conditionnelles	conditionnel	ADJ
conditionnels	conditionnel	ADJ
conditionnels	conditionnel	NAM
conditionnement	conditionnement	NAM
conditionnements	conditionnement	NAM
conditionnent	conditionner	VER
conditionner	conditionner	VER
conditionnerons	conditionner	VER
conditionneur	conditionneur	NAM
conditionneurs	conditionneur	NAM
conditionnons	conditionner	VER
conditionné	conditionner	VER
conditionné	conditionné	ADJ
conditionnée	conditionner	VER
conditionnée	conditionné	ADJ
conditionnées	conditionner	VER
conditionnées	conditionné	ADJ
conditionnés	conditionner	VER
conditionnés	conditionné	ADJ
conditions	condition	NAM
condo	condo	NAM
condoléance	condoléance	NAM
condoléances	condoléance	NAM
condoléants	condoléant	ADJ
condom	condom	NAM
condominium	condominium	NAM
condor	condor	NAM
condors	condor	NAM
condos	condo	NAM
condottiere	condottiere	NAM
condottieres	condottiere	NAM
condottieri	condottieri	NAM
conductance	conductance	NAM
conducteur	conducteur	ADJ
conducteur	conducteur	NAM
conducteurs	conducteur	ADJ
conducteurs	conducteur	NAM
conductibilité	conductibilité	NAM
conduction	conduction	NAM
conductivité	conductivité	NAM
conductrice	conducteur	ADJ
conductrice	conducteur	NAM
conductrices	conducteur	ADJ
conductrices	conducteur	NAM
conduira	conduire	VER
conduirai	conduire	VER
conduiraient	conduire	VER
conduirais	conduire	VER
conduirait	conduire	VER
conduiras	conduire	VER
conduire	conduire	VER
conduirez	conduire	VER
conduiriez	conduire	VER
conduirons	conduire	VER
conduiront	conduire	VER
conduis	conduire	VER
conduisaient	conduire	VER
conduisais	conduire	VER
conduisait	conduire	VER
conduisant	conduire	VER
conduise	conduire	VER
conduisent	conduire	VER
conduises	conduire	VER
conduisez	conduire	VER
conduisiez	conduire	VER
conduisions	conduire	VER
conduisirent	conduire	VER
conduisis	conduire	VER
conduisit	conduire	VER
conduisons	conduire	VER
conduisît	conduire	VER
conduit	conduire	VER
conduit	conduit	NAM
conduite	conduire	VER
conduite	conduit	ADJ
conduite	conduite	NAM
conduite-intérieure	conduite-intérieure	NAM
conduites	conduire	VER
conduites	conduit	ADJ
conduites	conduite	NAM
conduits	conduire	VER
conduits	conduit	NAM
condyle	condyle	NAM
condyles	condyle	NAM
condé	condé	NAM
condés	condé	NAM
confabulaient	confabuler	VER
confection	confection	NAM
confectionna	confectionner	VER
confectionnai	confectionner	VER
confectionnaient	confectionner	VER
confectionnais	confectionner	VER
confectionnait	confectionner	VER
confectionne	confectionner	VER
confectionner	confectionner	VER
confectionnerai	confectionner	VER
confectionnerais	confectionner	VER
confectionnerait	confectionner	VER
confectionneur	confectionneur	NAM
confectionneurs	confectionneur	NAM
confectionneuse	confectionneur	NAM
confectionneuses	confectionneur	NAM
confectionnez	confectionner	VER
confectionnions	confectionner	VER
confectionnâmes	confectionner	VER
confectionnât	confectionner	VER
confectionnèrent	confectionner	VER
confectionné	confectionner	VER
confectionnée	confectionner	VER
confectionnées	confectionner	VER
confectionnés	confectionner	VER
confessa	confesser	VER
confessai	confesser	VER
confessaient	confesser	VER
confessais	confesser	VER
confessait	confesser	VER
confessant	confesser	VER
confesse	confesse	NAM
confesse	confesser	VER
confessent	confesser	VER
confesser	confesser	VER
confesserai	confesser	VER
confesserait	confesser	VER
confesseras	confesser	VER
confesserez	confesser	VER
confesseur	confesseur	NAM
confesseurs	confesseur	NAM
confessez	confesser	VER
confessiez	confesser	VER
confession	confession	NAM
confessionnal	confessionnal	NAM
confessionnaux	confessionnal	NAM
confessionnel	confessionnel	ADJ
confessionnelle	confessionnel	ADJ
confessionnels	confessionnel	ADJ
confessions	confession	NAM
confessons	confesser	VER
confessé	confesser	VER
confessée	confesser	VER
confessés	confesser	VER
confetti	confetti	NAM
confettis	confetti	NAM
confia	confier	VER
confiai	confier	VER
confiaient	confier	VER
confiais	confier	VER
confiait	confier	VER
confiance	confiance	NAM
confiances	confiance	NAM
confiant	confiant	ADJ
confiant	confier	VER
confiante	confiant	ADJ
confiantes	confiant	ADJ
confiants	confiant	ADJ
confidence	confidence	NAM
confidences	confidence	NAM
confident	confident	NAM
confidente	confident	NAM
confidentes	confident	NAM
confidentialité	confidentialité	NAM
confidentiel	confidentiel	ADJ
confidentielle	confidentiel	ADJ
confidentiellement	confidentiellement	ADV
confidentielles	confidentiel	ADJ
confidentiels	confidentiel	ADJ
confidents	confident	NAM
confie	confier	VER
confient	confier	VER
confier	confier	VER
confiera	confier	VER
confierai	confier	VER
confieraient	confier	VER
confierais	confier	VER
confierait	confier	VER
confieras	confier	VER
confierez	confier	VER
confieriez	confier	VER
confiez	confier	VER
configuration	configuration	NAM
configurations	configuration	NAM
configure	configurer	VER
configurer	configurer	VER
configuré	configurer	VER
confiions	confier	VER
confina	confiner	VER
confinaient	confiner	VER
confinait	confiner	VER
confinant	confiner	VER
confine	confiner	VER
confinement	confinement	NAM
confinent	confiner	VER
confiner	confiner	VER
confinerez	confiner	VER
confins	confins	NAM
confiné	confiner	VER
confiné	confiné	ADJ
confinée	confiner	VER
confinée	confiné	ADJ
confinées	confiner	VER
confinées	confiné	ADJ
confinés	confiner	VER
confinés	confiné	ADJ
confions	confier	VER
confiote	confiote	NAM
confiotes	confiote	NAM
confire	confire	VER
confirma	confirmer	VER
confirmai	confirmer	VER
confirmaient	confirmer	VER
confirmais	confirmer	VER
confirmait	confirmer	VER
confirmant	confirmer	VER
confirmation	confirmation	NAM
confirmations	confirmation	NAM
confirme	confirmer	VER
confirment	confirmer	VER
confirmer	confirmer	VER
confirmera	confirmer	VER
confirmerai	confirmer	VER
confirmeraient	confirmer	VER
confirmerait	confirmer	VER
confirmerez	confirmer	VER
confirmeront	confirmer	VER
confirmes	confirmer	VER
confirmez	confirmer	VER
confirmions	confirmer	VER
confirmons	confirmer	VER
confirmâmes	confirmer	VER
confirmât	confirmer	VER
confirmèrent	confirmer	VER
confirmé	confirmer	VER
confirmé	confirmé	ADJ
confirmée	confirmer	VER
confirmée	confirmé	ADJ
confirmées	confirmer	VER
confirmées	confirmé	ADJ
confirmés	confirmer	VER
confirmés	confirmé	ADJ
confiscation	confiscation	NAM
confiscations	confiscation	NAM
confiserie	confiserie	NAM
confiseries	confiserie	NAM
confiseur	confiseur	NAM
confiseurs	confiseur	NAM
confiseuse	confiseur	NAM
confisqua	confisquer	VER
confisquaient	confisquer	VER
confisquait	confisquer	VER
confisquant	confisquer	VER
confisque	confisquer	VER
confisquent	confisquer	VER
confisquer	confisquer	VER
confisquera	confisquer	VER
confisquerai	confisquer	VER
confisqueraient	confisquer	VER
confisquerait	confisquer	VER
confisquerons	confisquer	VER
confisqueront	confisquer	VER
confisquez	confisquer	VER
confisquons	confisquer	VER
confisquât	confisquer	VER
confisquèrent	confisquer	VER
confisqué	confisquer	VER
confisqué	confisqué	ADJ
confisquée	confisquer	VER
confisquée	confisqué	ADJ
confisquées	confisquer	VER
confisquées	confisqué	ADJ
confisqués	confisquer	VER
confisqués	confisqué	ADJ
confit	confire	VER
confit	confit	ADJ
confit	confit	NAM
confite	confire	VER
confite	confit	ADJ
confiteor	confiteor	NAM
confites	confire	VER
confites	confit	ADJ
confits	confire	VER
confits	confit	ADJ
confits	confit	NAM
confiture	confiture	NAM
confitures	confiture	NAM
confituriers	confiturier	NAM
confiturière	confiturier	NAM
confiâmes	confier	VER
confiât	confier	VER
confièrent	confier	VER
confié	confier	VER
confiée	confier	VER
confiées	confier	VER
confiés	confier	VER
conflagration	conflagration	NAM
conflictuel	conflictuel	ADJ
conflictuelle	conflictuel	ADJ
conflictuelles	conflictuel	ADJ
conflictuels	conflictuel	ADJ
conflit	conflit	NAM
conflits	conflit	NAM
confluaient	confluer	VER
confluait	confluer	VER
confluant	confluer	VER
conflue	confluer	VER
confluence	confluence	NAM
confluent	confluer	VER
confluent	confluent	ADJ
confluent	confluent	NAM
confluents	confluent	NAM
confluer	confluer	VER
conflué	confluer	VER
confond	confondre	VER
confondaient	confondre	VER
confondais	confondre	VER
confondait	confondre	VER
confondant	confondant	ADJ
confondant	confondre	VER
confondante	confondant	ADJ
confondantes	confondant	ADJ
confondants	confondant	ADJ
confonde	confondre	VER
confondent	confondre	VER
confondez	confondre	VER
confondions	confondre	VER
confondirent	confondre	VER
confondis	confondre	VER
confondit	confondre	VER
confondons	confondre	VER
confondra	confondre	VER
confondrai	confondre	VER
confondrais	confondre	VER
confondrait	confondre	VER
confondre	confondre	VER
confondrez	confondre	VER
confondront	confondre	VER
confonds	confondre	VER
confondu	confondre	VER
confondu	confondu	ADJ
confondue	confondre	VER
confondue	confondu	ADJ
confondues	confondre	VER
confondues	confondu	ADJ
confondus	confondre	VER
confondus	confondu	ADJ
confondît	confondre	VER
conformai	conformer	VER
conformaient	conformer	VER
conformais	conformer	VER
conformait	conformer	VER
conformant	conformer	VER
conformation	conformation	NAM
conforme	conforme	ADJ
conforme	conformer	VER
conforment	conformer	VER
conformer	conformer	VER
conformera	conformer	VER
conformerai	conformer	VER
conformeraient	conformer	VER
conformerez	conformer	VER
conformes	conforme	ADJ
conformisme	conformisme	NAM
conformismes	conformisme	NAM
conformiste	conformiste	ADJ
conformiste	conformiste	NAM
conformistes	conformiste	ADJ
conformistes	conformiste	NAM
conformité	conformité	NAM
conformât	conformer	VER
conformé	conformer	VER
conformé	conformé	ADJ
conformée	conformer	VER
conformément	conformément	ADV
confort	confort	NAM
conforta	conforter	VER
confortable	confortable	ADJ
confortablement	confortablement	ADV
confortables	confortable	ADJ
confortaient	conforter	VER
confortait	conforter	VER
confortant	conforter	VER
conforte	conforter	VER
conforter	conforter	VER
conforterait	conforter	VER
conforts	confort	NAM
conforté	conforter	VER
confortée	conforter	VER
confraternel	confraternel	ADJ
confraternelle	confraternel	ADJ
confraternellement	confraternellement	ADV
confraternelles	confraternel	ADJ
confraternels	confraternel	ADJ
confraternité	confraternité	NAM
confrontai	confronter	VER
confrontaient	confronter	VER
confrontais	confronter	VER
confrontait	confronter	VER
confrontant	confronter	VER
confrontation	confrontation	NAM
confrontations	confrontation	NAM
confronte	confronter	VER
confrontent	confronter	VER
confronter	confronter	VER
confrontez	confronter	VER
confrontons	confronter	VER
confrontèrent	confronter	VER
confronté	confronter	VER
confronté	confronté	ADJ
confrontée	confronter	VER
confrontée	confronté	ADJ
confrontées	confronter	VER
confrontées	confronté	ADJ
confrontés	confronter	VER
confrontés	confronté	ADJ
confrère	confrère	NAM
confrères	confrère	NAM
confrérie	confrérie	NAM
confréries	confrérie	NAM
confucianisme	confucianisme	NAM
confucéenne	confucéen	ADJ
confus	confus	ADJ
confuse	confus	ADJ
confuses	confus	ADJ
confusion	confusion	NAM
confusionnisme	confusionnisme	NAM
confusions	confusion	NAM
confusément	confusément	ADV
confère	conférer	VER
confèrent	conférer	VER
confédéral	confédéral	ADJ
confédération	confédération	NAM
confédéraux	confédéral	ADJ
confédérer	confédérer	VER
confédéré	confédérer	VER
confédéré	confédéré	ADJ
confédéré	confédéré	NAM
confédérée	confédéré	ADJ
confédérés	confédérer	VER
confédérés	confédéré	ADJ
confédérés	confédéré	NAM
conféra	conférer	VER
conféraient	conférer	VER
conférais	conférer	VER
conférait	conférer	VER
conférant	conférer	VER
conférence	conférence	NAM
conférences	conférence	NAM
conférences-débats	conférence-débat	NAM
conférencier	conférencier	NAM
conférenciers	conférencier	NAM
conférencière	conférencier	NAM
conférents	conférent	NAM
conférer	conférer	VER
conférera	conférer	VER
conféreraient	conférer	VER
conférerait	conférer	VER
conférerez	conférer	VER
conféreront	conférer	VER
conférez	conférer	VER
conférât	conférer	VER
conférèrent	conférer	VER
conféré	conférer	VER
conféré	conféré	ADJ
conférée	conférer	VER
conférées	conférer	VER
conférées	conféré	ADJ
conférés	conférer	VER
conférés	conféré	ADJ
conga	conga	NAM
congas	conga	NAM
congayes	congaye	NAM
congaïs	congaï	NAM
congela	congeler	VER
congelait	congeler	VER
congelant	congeler	VER
congeler	congeler	VER
congelez	congeler	VER
congelons	congeler	VER
congelé	congeler	VER
congelé	congelé	ADJ
congelée	congeler	VER
congelée	congelé	ADJ
congelées	congeler	VER
congelées	congelé	ADJ
congelés	congeler	VER
congelés	congelé	ADJ
congestif	congestif	ADJ
congestion	congestion	NAM
congestionnaient	congestionner	VER
congestionnait	congestionner	VER
congestionne	congestionner	VER
congestionnent	congestionner	VER
congestionné	congestionner	VER
congestionné	congestionné	ADJ
congestionnée	congestionner	VER
congestionnée	congestionné	ADJ
congestionnées	congestionné	ADJ
congestionnés	congestionner	VER
congestionnés	congestionné	ADJ
congestions	congestion	NAM
congestive	congestif	ADJ
conglobation	conglobation	NAM
conglomérat	conglomérat	NAM
conglomérats	conglomérat	NAM
conglomérée	conglomérer	VER
congolais	congolais	ADJ
congolais	congolais	NAM
congolaise	congolais	ADJ
congratula	congratuler	VER
congratulaient	congratuler	VER
congratulait	congratuler	VER
congratulant	congratuler	VER
congratulations	congratulation	NAM
congratule	congratuler	VER
congratulent	congratuler	VER
congratuler	congratuler	VER
congratulions	congratuler	VER
congratulâmes	congratuler	VER
congratulèrent	congratuler	VER
congratulé	congratuler	VER
congratulés	congratuler	VER
congre	congre	NAM
congres	congre	NAM
congressistes	congressiste	NAM
congrue	congru	ADJ
congrès	congrès	NAM
congréganiste	congréganiste	NAM
congrégation	congrégation	NAM
congrégationaliste	congrégationaliste	ADJ
congrégations	congrégation	NAM
congrûment	congrûment	ADV
congèle	congeler	VER
congèlera	congeler	VER
congèlerais	congeler	VER
congère	congère	NAM
congères	congère	NAM
congé	congé	NAM
congédia	congédier	VER
congédiai	congédier	VER
congédiait	congédier	VER
congédiant	congédier	VER
congédie	congédier	VER
congédiement	congédiement	NAM
congédient	congédier	VER
congédier	congédier	VER
congédiez	congédier	VER
congédié	congédier	VER
congédié	congédié	ADJ
congédiée	congédier	VER
congédiée	congédié	ADJ
congédiées	congédier	VER
congédiés	congédier	VER
congélateur	congélateur	NAM
congélateurs	congélateur	NAM
congélation	congélation	NAM
congénital	congénital	ADJ
congénitale	congénital	ADJ
congénitalement	congénitalement	ADV
congénitales	congénital	ADJ
congénitaux	congénital	ADJ
congénère	congénère	ADJ
congénère	congénère	NAM
congénères	congénère	ADJ
congénères	congénère	NAM
congés	congé	NAM
conifère	conifère	NAM
conifères	conifère	NAM
conique	conique	ADJ
coniques	conique	ADJ
conjecturai	conjecturer	VER
conjectural	conjectural	ADJ
conjecturale	conjectural	ADJ
conjecture	conjecture	NAM
